DB Class Key	Common Organism Name	NCBI Taxon ID	Symbol	EntrezGene ID	Mouse MGI ID	HGNC ID	OMIM Gene ID	Genetic Location	Genomic Coordinates (mouse: , human: )	Nucleotide RefSeq IDs	Protein RefSeq IDs	SWISS_PROT IDs
43219659	human	9606	MTSS1	9788		HGNC:20443	OMIM:608486	Chr8 q24.13	Chr8:124550770-124728507(-)	NM_001363301,NM_001363300,NM_001363294,NM_001363302,NM_014751,NM_001363299,NM_001363298,NM_001363297,NM_001363296,NM_001282971,NM_001282974,NM_001363295	XP_047278447,XP_006716767,XP_047278444,XP_016869581,XP_016869580,XP_016869579,XP_016869578,XP_016869577,XP_016869576,XP_016869575,XP_011515705,XP_006716769,XP_006716768,NP_001350223,NP_001350227,NP_001350228,NP_001350229,NP_001350230,NP_001350231,NP_055566,XP_005251168,XP_005251170,XP_006716763,XP_006716764,NP_001269903,NP_001269900,NP_001350226,NP_001350225,XP_006716765,XP_006716766,NP_001350224,XP_047278446,XP_047278449,XP_047278448	O43312
43219660	mouse, laboratory	10090	Nabp2	69917	MGI:1917167			Chr10 76.55 cM	Chr10:128237264-128247361(-)	XM_006514066,XM_006514067,NM_027257,NM_001358972,NM_001358973,XM_030245253,XM_030245254,XM_036155988	XP_006514129,XP_036011881,NP_001345902,NP_001345901,NP_081533,XP_006514130,XP_030101114,XP_030101113	Q8R2Y9
43219660	human	9606	NABP2	79035		HGNC:28412	OMIM:612104	Chr12 q13.3	Chr12:56222039-56229858(+)	NM_024068	XP_047285488,XP_005269206,XP_005269204,NP_076973,XP_047285489,XP_047285487	Q9BQ15
43219661	mouse, laboratory	10090	Ephb6	13848	MGI:1096338			Chr6 19.77 cM	Chr6:41582416-41597443(+)	XM_036165808,XM_036165807,NM_001146351,NM_007680,XM_030255144	XP_030111004,XP_036021701,NP_031706,NP_001139823,XP_036021700	O08644
43219661	human	9606	EPHB6	2051		HGNC:3396	OMIM:602757	Chr7 q34	Chr7:142854640-142871093(+)	NM_001280795,NM_004445,NM_001280794	XP_011514181,XP_011514182,NP_004436,NP_001267723,NP_001267724,XP_011514184,XP_024302443,XP_047275939,XP_011514183,XP_047275940	O15197
43219662	mouse, laboratory	10090	Klb	83379	MGI:1932466			Chr5 33.64 cM	Chr5:65505657-65541350(+)	XM_006504204,NM_031180	NP_112457,XP_006504267	Q99N32
43219662	human	9606	KLB	152831		HGNC:15527	OMIM:611135	Chr4 p14	Chr4:39406853-39451533(+)	NM_175737	NP_783864	Q86Z14
43219663	mouse, laboratory	10090	Oxr1	170719	MGI:2179326			Chr15 16.06 cM	Chr15:41310878-41724444(+)	XM_030248362,XM_036159209,XM_006520531,NM_001130165,NM_130885,NM_001130164,XM_036159204,XM_036159205,XM_036159206,XM_006520526,XM_036159207,NM_001358976,NM_001358977,NM_001358978,NM_001130166,NM_001130163	XP_036015098,NP_001345905,NP_570955,NP_001123637,NP_001123638,NP_001345907,NP_001123635,NP_001123636,XP_006520594,XP_036015102,NP_001345906,XP_036015097,XP_036015100,XP_036015099,XP_006520589,XP_030104222	Q4KMM3
43219663	human	9606	OXR1	55074		HGNC:15822	OMIM:605609	Chr8 q23.1	Chr8:106270178-106752694(+)	NM_181354,NM_001198534,NM_001198535,NM_018002,NM_001198533,NM_001198532	XP_047277877,XP_047277876,XP_047277875,XP_047277874,XP_016869082,XP_016869081,XP_016869080,XP_016869078,XP_016869079,XP_006716658,NP_001185461,NP_001185462,NP_001185463,NP_001185464,NP_060472,NP_851999,XP_047277878	Q8N573
43219664	mouse, laboratory	10090	Cma2	545055	MGI:88426			Chr14 28.19 cM	Chr14:56188437-56211488(+)	NM_001024714,NM_001361637	NP_001019885,NP_001348566	
43219665	mouse, laboratory	10090	Mcpt9	17232	MGI:1194491			Chr14 28.19 cM	Chr14:56264321-56267952(-)	NM_010782	NP_034912	O35164
43219666	mouse, laboratory	10090	Mcptl	17233	MGI:102792			Chr14 syntenic				Q00356
43219667	mouse, laboratory	10090	Gzmn	245839	MGI:2675494			Chr14 28.19 cM	Chr14:56403254-56412056(-)	XM_017316021,XM_017316020,XM_006519020,NM_001305808,NM_153052	NP_694692,XP_017171510,XP_017171509,XP_006519083,NP_001292737	
43219667	human	9606	GZMB	3002		HGNC:4709	OMIM:123910	Chr14 q12	Chr14:24630954-24634226(-)	NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131	NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122	P10144,P10144,P10144,P10144,P10144,P10144,P10144
43219668	mouse, laboratory	10090	Gzme	14942	MGI:109265			Chr14 28.19 cM	Chr14:56355083-56358082(-)	NM_010373	NP_034503	P08884
43219668	human	9606	GZMB	3002		HGNC:4709	OMIM:123910	Chr14 q12	Chr14:24630954-24634226(-)	NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131	NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122	P10144,P10144,P10144,P10144,P10144,P10144,P10144
43219668	human	9606	GZMH	2999		HGNC:4710	OMIM:116831	Chr14 q12	Chr14:24606480-24609763(-)	NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423	NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491	P20718,P20718,P20718,P20718
43219669	mouse, laboratory	10090	Mcpt1	17224	MGI:96937			Chr14 28.19 cM	Chr14:56255428-56257841(+)	NM_008570	NP_032596	P11034
43219670	mouse, laboratory	10090	Mcpt8	17231	MGI:1261780			Chr14 28.19 cM	Chr14:56319623-56322730(-)	XM_006518671,NM_008572	XP_006518734,NP_032598	P43430
43219671	mouse, laboratory	10090	Gzmb	14939	MGI:109267			Chr14 28.19 cM	Chr14:56496295-56499717(-)	NM_013542	NP_038570	P04187
43219671	human	9606	GZMB	3002		HGNC:4709	OMIM:123910	Chr14 q12	Chr14:24630954-24634226(-)	NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131	NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122	P10144,P10144,P10144,P10144,P10144,P10144,P10144
43219672	mouse, laboratory	10090	Gzmd	14941	MGI:109255			Chr14 28.19 cM	Chr14:56367013-56370060(-)	XM_006518569,NM_010372	NP_034502,XP_006518632	P11033
43219672	human	9606	GZMB	3002		HGNC:4709	OMIM:123910	Chr14 q12	Chr14:24630954-24634226(-)	NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131	NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122	P10144,P10144,P10144,P10144,P10144,P10144,P10144
43219672	human	9606	GZMH	2999		HGNC:4710	OMIM:116831	Chr14 q12	Chr14:24606480-24609763(-)	NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423	NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491	P20718,P20718,P20718,P20718
43219673	mouse, laboratory	10090	Ctsg	13035	MGI:88563			Chr14 28.19 cM	Chr14:56337342-56340031(-)	NM_007800	NP_031826	P28293
43219673	human	9606	CTSG	1511		HGNC:2532	OMIM:116830	Chr14 q12	Chr14:24573518-24576260(-)	NM_001911	XP_011534801,NP_001902	P08311
43219674	mouse, laboratory	10090	Gzmc	14940	MGI:109256			Chr14 28.19 cM	Chr14:56468898-56472113(-)	XM_011244963,NM_010371,XM_006518568	XP_011243265,XP_006518631,NP_034501	P08882
43219674	human	9606	GZMB	3002		HGNC:4709	OMIM:123910	Chr14 q12	Chr14:24630954-24634226(-)	NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131	NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122	P10144,P10144,P10144,P10144,P10144,P10144,P10144
43219675	mouse, laboratory	10090	Mcpt4	17227	MGI:96940			Chr14 28.19 cM	Chr14:56297201-56299767(-)	NM_010779	NP_034909	P21812
43219676	mouse, laboratory	10090	Gzmg	14944	MGI:109253			Chr14 28.19 cM	Chr14:56394039-56397036(-)	NM_010375	NP_034505	P13366
43219676	human	9606	GZMB	3002		HGNC:4709	OMIM:123910	Chr14 q12	Chr14:24630954-24634226(-)	NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131	NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122	P10144,P10144,P10144,P10144,P10144,P10144,P10144
43219676	human	9606	GZMH	2999		HGNC:4710	OMIM:116831	Chr14 q12	Chr14:24606480-24609763(-)	NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423	NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491	P20718,P20718,P20718,P20718
43219677	mouse, laboratory	10090	Mcpt2	17225	MGI:96938			Chr14 28.19 cM	Chr14:56279498-56282099(+)	XM_011244980,NM_008571	XP_011243282,NP_032597	P15119
43219678	mouse, laboratory	10090	Gzmf	14943	MGI:109254			Chr14 28.19 cM	Chr14:56442720-56448864(-)	NM_010374	NP_034504	P08883
43219678	human	9606	GZMB	3002		HGNC:4709	OMIM:123910	Chr14 q12	Chr14:24630954-24634226(-)	NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131,NM_001346011,NM_004131	NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122,NP_001332940,NP_004122	P10144,P10144,P10144,P10144,P10144,P10144,P10144
43219678	human	9606	GZMH	2999		HGNC:4710	OMIM:116831	Chr14 q12	Chr14:24606480-24609763(-)	NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423,NM_001270780,NM_001270781,NM_033423	NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491,NP_001257709,NP_001257710,NP_219491	P20718,P20718,P20718,P20718
43219679	mouse, laboratory	10090	Sec14l3	380683	MGI:3617848			Chr11 2.86 cM	Chr11:4014841-4027736(+)	XM_011243730,NM_001029937	NP_001025108,XP_011242032	
43219679	human	9606	SEC14L3	266629		HGNC:18655	OMIM:612824	Chr22 q12.2	Chr22:30447959-30472047(-)	NM_001376914,NM_001257382,NM_001257379,NM_001257378,NM_174975	NP_001244307,NP_001244308,NP_001244311,NP_001363843,NP_777635,XP_011528430	Q9UDX4
43219680	mouse, laboratory	10090	Sec14l2	67815	MGI:1915065			Chr11 2.87 cM	Chr11:4047039-4068729(-)	NM_144520	NP_653103	Q99J08
43219680	human	9606	SEC14L2	23541		HGNC:10699	OMIM:607558	Chr22 q12.2	Chr22:30396941-30425303(+)	NM_012429,NM_001204204,NM_001291932,NM_033382	NP_001278861,NP_036561,NP_203740,NP_001191133	O76054
43219681	mouse, laboratory	10090	Senp1	223870	MGI:2445054			Chr15 54.04 cM	Chr15:97936625-97991625(-)	XM_006520883,NM_001379573,XM_006520882,XM_006520884,XM_030248526,XM_006520880,XM_036159384,NM_144851,XM_030248525	XP_030104385,XP_030104386,XP_036015277,XP_006520945,XP_006520947,XP_006520943,NP_659100,NP_001366502,XP_006520946	P59110
43219681	human	9606	SENP1	29843		HGNC:17927	OMIM:612157	Chr12 q13.11	Chr12:48042893-48106308(-)	NM_001267594,NM_001267595,NM_014554	XP_047284708,XP_011536546,XP_006719424,XP_016874718,XP_016874723,XP_016874722,XP_016874719,XP_016874721,XP_016874720,XP_011536547,NP_001254524,NP_001254523,XP_016874726,XP_016874724	Q9P0U3
43219682	mouse, laboratory	10090	Zfp341	228807	MGI:2682937			Chr2 76.79 cM	Chr2:154455217-154488741(+)	NM_199304,XM_036161505	NP_955008,XP_036017398	
43219682	human	9606	ZNF341	84905		HGNC:15992	OMIM:618269	Chr20 q11.22	Chr20:33731760-33792269(+)	NM_032819,NM_001282935,NM_001282933	NP_116208,NP_001269864,NP_001269862	Q9BYN7
43219683	mouse, laboratory	10090	Cep350	74081	MGI:1921331			Chr1 67.64 cM	Chr1:155720710-155849001(-)	XM_006529903,NM_001039184,XM_006529902,XM_030243200,XM_030243199,XM_006529907,XM_006529900,XM_006529905,XM_006529906,XM_006529904	XP_006529968,XP_006529967,NP_001034273,XP_006529969,XP_030099060,XP_006529966,XP_006529970,XP_030099059,XP_006529963,XP_006529965	E9Q309
43219683	human	9606	CEP350	9857		HGNC:24238	OMIM:617870	Chr1 q25.2	Chr1:179954773-180114880(+)	NM_014810	XP_047291338,XP_047291340,XP_047291343,XP_047291348,XP_047291350,XP_047291355,XP_047291356,NP_055625,XP_047291332,XP_047291333,XP_047291334,XP_047291357,XP_047291358,XP_047291359,XP_047291360,XP_047291362,XP_047291370,XP_047291379,XP_047291385,XP_047291386,XP_047291389,XP_047291392,XP_047291398,XP_047291401,XP_047291411,XP_047291415,XP_047291422	Q5VT06
43219684	mouse, laboratory	10090	Atp6v1c2	68775	MGI:1916025			Chr12 8.06 cM	Chr12:17334722-17375700(-)	XM_036157604,XM_006515198,NM_133699,NM_001159632,XM_017315176,XM_006515196,XM_030246897,XM_006515199	XP_030102757,NP_598460,NP_001153104,XP_006515259,XP_006515261,XP_017170665,XP_036013497,XP_006515262	Q99L60
43219684	human	9606	ATP6V1C2	245973		HGNC:18264	OMIM:618070	Chr2 p25.1	Chr2:10720974-10785110(+)	NM_001410707,NM_001039362,NM_144583	XP_011508642,XP_011508641,NP_653184,NP_001397636,NP_001034451,XP_047299819,XP_047299817,XP_047299816,XP_047299815,XP_047299814,XP_047299813,XP_016859234,XP_011508643,XP_047299818,XP_047299820	Q8NEY4
43219685	mouse, laboratory	10090	Pgap3	320655	MGI:2444461			Chr11 61.75 cM	Chr11:98279503-98291316(-)	XM_354640,XM_006533550,XM_006533549	XP_006533613,XP_006533612,NP_001028709	A2A559
43219685	human	9606	PGAP3	93210		HGNC:23719	OMIM:611801	Chr17 q12	Chr17:39671122-39688070(-)	NM_001291733,NM_001291726,NM_001291728,NM_001291730,NM_001291732,NM_033419	NP_001278659,NP_001278655,NP_001278657,NP_001278661,NP_001278662,NP_219487,XP_011523782,XP_047293038,XP_047293039	Q96FM1
43219686	mouse, laboratory	10090	Vopp1	232023	MGI:2141658			Chr6 27.82 cM	Chr6:57729249-57804968(-)	XM_017321526,NM_001411590,XM_017321528,XM_036166045,XM_006505952,XM_030255332,NM_001411589,NM_001411586,NM_146168,NM_001411587,NM_001411588	NP_001398519,NP_666280,NP_001398518,NP_001398516,NP_001398517,NP_001398515,XP_036021938,XP_030111192,XP_017177017,XP_006506015,XP_017177015	Q8R1C3
43219686	human	9606	VOPP1	81552		HGNC:34518	OMIM:611915	Chr7 p11.2	Chr7:55434406-55572520(-)	NM_001284282,NM_001284283,NM_001284284,NM_001321242,NM_001321243,NM_001321244,NM_001321246,NM_001321247,NM_001321248,NM_001321249,NM_001321250,NM_001321251,NM_030796	NP_001308180,NP_001271211,NP_001271212,NP_001271213,NP_001308171,NP_001308172,NP_001308173,NP_001308175,NP_001308176,NP_001308177,NP_001308178,NP_001308179,NP_110423,XP_011513841,XP_011513842,XP_011513843,XP_011513848	Q96AW1
43219687	mouse, laboratory	10090	Cfap91	320214	MGI:2443598			Chr16 26.71 cM	Chr16:38118116-38162222(-)	XM_006522245,NM_001081025	XP_006522308,NP_001074494	Q8BRC6
43219687	human	9606	CFAP91	89876		HGNC:24010	OMIM:609910	Chr3 q13.33	Chr3:119703022-119767102(+)	NM_001320318,NM_033364,NM_001320316,NM_001320317	NP_001307245,NP_001307246,NP_001307247,NP_203528	Q7Z4T9
43219688	mouse, laboratory	10090	A930017K11Rik	100034748	MGI:2442713			Chr17 13.03 cM	Chr17:26165361-26171539(-)	NM_001358019,XM_030249394,XM_030249393	NP_001344948,XP_030105254,XP_030105253	
43219688	human	9606	PRR35	146325		HGNC:14139		Chr16 p13.3	Chr16:559786-565529(+)	NM_145270	XP_016878449,NP_660313,XP_016878448,XP_016878450	P0CG20
43219689	mouse, laboratory	10090	Scarb2	12492	MGI:1196458			Chr5 46.82 cM	Chr5:92589170-92653516(-)	NM_007644	NP_031670	O35114
43219689	human	9606	SCARB2	950		HGNC:1665	OMIM:602257	Chr4 q21.1	Chr4:76158737-76213899(-)	NM_001204255,NM_005506	XP_047272385,XP_047272386,NP_001191184,NP_005497	Q14108
43219690	mouse, laboratory	10090	Tmem230	70612	MGI:1917862			Chr2 64.15 cM	Chr2:132081412-132089708(-)	NM_001141971,XM_006500166,NM_027478	NP_001135443,NP_081754,XP_006500229	Q8CIB6
43219690	human	9606	TMEM230	29058		HGNC:15876	OMIM:617019	Chr20 p13-p12.3	Chr20:5068483-5113087(-)	NM_014145,NM_001330987,NM_001330986,NM_001330985,NM_001330984,NM_001009925,NM_001009924,NM_001009923	NP_001009923,NP_001317916,NP_054864,XP_047296088,NP_001317915,NP_001317914,NP_001317913,NP_001009925,NP_001009924	Q96A57
43219691	mouse, laboratory	10090	Spef1	70997	MGI:3513546			Chr2 63.28 cM	Chr2:131012181-131016730(-)	NM_027641,XM_357260	NP_081917	Q99JL1
43219691	human	9606	SPEF1	25876		HGNC:15874	OMIM:610674	Chr20 p13	Chr20:3777504-3781466(-)	NM_015417	NP_056232	Q9Y4P9
43219692	mouse, laboratory	10090	Spef1l	381933	MGI:2685939			Chr7 84.95 cM	Chr7:139552216-139558668(-)	NM_001347613,NM_001347614,XM_036153204,NM_001033465,XM_355958,NM_001359836,XM_036153205	NP_001334543,NP_001346765,NP_001028637,NP_001334542,XP_036009098,XP_036009097	
43219693	mouse, laboratory	10090	Ddias	74041	MGI:1921291			Chr7 51.64 cM	Chr7:92506734-92523455(-)	NM_001368705,NM_001355126,NM_001080995	NP_001074464,NP_001355634,NP_001342055	Q6NZG4
43219693	human	9606	DDIAS	220042		HGNC:26351	OMIM:618045	Chr11 q14.1	Chr11:82901695-82934659(+)	NM_145018,NM_001363481	XP_024304168,NP_001350410,NP_659455,XP_011543138,XP_011543139	Q8IXT1
43219694	mouse, laboratory	10090	3110009E18Rik	73103	MGI:1920353			Chr1 52.66 cM	Chr1:120048917-120115919(+)	XM_017312452,XM_030243151,XM_017312453,NM_028439,XM_006529893,XM_017312451,NM_001172074	XP_017167942,NP_082715,NP_001165545,XP_017167940,XP_006529956,XP_030099011,XP_017167941	Q9CRW3
43219694	human	9606	C2orf76	130355		HGNC:27017		Chr2 q14.2	Chr2:119281472-119366879(-)	NM_001017927,NM_001322329,NM_001322330,NM_001322331,NM_001322332	NP_001309260,NP_001309261,XP_016858843,NP_001017927,NP_001309258,NP_001309259	Q3KRA6
43219695	mouse, laboratory	10090	Htr2b	15559	MGI:109323			Chr1 43.94 cM	Chr1:86026748-86039692(-)	NM_008311,XM_006529146,XM_030250037	XP_030105897,XP_006529209,NP_032337	Q02152
43219695	human	9606	HTR2B	3357		HGNC:5294	OMIM:601122	Chr2 q37.1	Chr2:231108230-231125778(-)	NM_001320758,NM_000867	XP_047300070,NP_000858,XP_006712545,XP_005246577,NP_001307687	P41595
43219696	mouse, laboratory	10090	Rbm11	224344	MGI:2447622			Chr16 43.22 cM	Chr16:75389732-75399713(+)	NM_198302,XM_036159904,XM_006523004	XP_036015797,NP_938044,XP_006523067	Q80YT9
43219696	human	9606	RBM11	54033		HGNC:9897	OMIM:617937	Chr21 q11.2	Chr21:14216107-14228372(+)	NM_144770,NM_001320602	XP_047296807,XP_005261054,XP_016883876,NP_001307531,NP_658983,XP_016883873	P57052
43219697	mouse, laboratory	10090	Tspan5	56224	MGI:1928096			Chr3 64.42 cM	Chr3:138447609-138610194(+)	XM_006501737,NM_019571,XM_006501736,XM_030252697	XP_006501800,XP_006501799,XP_030108557,NP_062517	P62080
43219697	human	9606	TSPAN5	10098		HGNC:17753	OMIM:613136	Chr4 q23	Chr4:98470367-98658661(-)	NM_005723	XP_005262737,XP_047305428,NP_005714,XP_047305431,XP_047305432,XP_047305429,XP_047305433	P62079
43219698	mouse, laboratory	10090	Trak2	70827	MGI:1918077			Chr1 29.2 cM	Chr1:58939608-59012589(-)	XM_036153638,XM_006496280,XM_036153625,XM_036153630,XM_006496282,NM_172406,XM_036153639,XM_036153641,XM_006496281,XM_036153627,XM_036153623,XM_036153642,XM_030242947,XM_036153640	XP_036009523,XP_036009518,XP_036009535,XP_036009534,XP_036009516,XP_036009533,XP_036009532,XP_036009531,XP_030098807,XP_006496345,XP_006496344,XP_036009520,XP_006496343,NP_765994	
43219698	human	9606	TRAK2	66008		HGNC:13206	OMIM:607334	Chr2 q33.1	Chr2:201377207-201451596(-)	NM_015049	XP_047301534,NP_055864,XP_047301535	O60296
43219699	mouse, laboratory	10090	Exo5	73172	MGI:1920422			Chr4 56.65 cM	Chr4:120778399-120782202(-)	NM_028457,NM_001160043	NP_001153515,NP_082733	Q9CXP9
43219699	human	9606	EXO5	64789		HGNC:26115	OMIM:618601	Chr1 p34.2	Chr1:40508719-40516556(+)	NM_001346955,NM_022774,NM_001346956,NM_001346946,NM_001346947,NM_001346948,NM_001346949,NM_001346950,NM_001346951,NM_001346952,NM_001346953,NM_001346954	NP_001333875,NP_001333876,NP_001333877,NP_001333878,NP_001333879,NP_001333880,NP_001333881,NP_001333882,NP_001333883,NP_001333884,NP_001333885,NP_073611,XP_016857588,XP_016857591	Q9H790
43219700	mouse, laboratory	10090	Vps37b	330192	MGI:1916724			Chr5 63.32 cM	Chr5:124142704-124170323(-)	NM_177876	NP_808544	Q8R0J7
43219700	human	9606	VPS37B	79720		HGNC:25754	OMIM:610037	Chr12 q24.31	Chr12:122865328-122896165(-)	NM_024667	XP_011537045,XP_006719665,NP_078943,XP_047285506,XP_016875460,XP_011537047	Q9H9H4
